id;City;Type;Adress;Name;Geo_spot1;Geo_spot2
a61f5daf00b06ee6f2f7d92756caa042flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Дом на Набережной;Дом на Набережной;59.902826;30.426684
a6503c35a04362035a7216258347b519flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Философия на Московской;Философия на Московской;59.842784;30.302052
a72293b63fb393e035d0822ed2b5afcaflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Monodom Line;Monodom Line;59.944494;30.269802
a7e9392c9f33a09aafe185a03160adf6flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Клены;Клены;59.847729;30.105923
aa94f075b969b1edf97b466a9fcdd7e1flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК ЦДС Волковский;ЦДС Волковский;59.899884;30.363937
ab27b1a5f83587e87ec3f3234c311b93flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Биография;Биография;59.958715;30.28961
ac7d1b54679e62b9683115eb269016eaflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Морская набережная, 2 очередь;Морская набережная, 2 очередь;59.933568;30.193652
acb587fda81784e4f8beb9af00786fb5flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Коломяги Плюс;Коломяги Плюс;60.031337;30.292512
adcace4c85da57ee4f0381e06b598723flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Маршал;Маршал;59.975846;30.387545
ae59d3bbe32b533f739dc40d08c9172eflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Болконский;Болконский;59.912382;30.301037
ae6f742e417153c9c9543937e71b70ffflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК София;София;59.857766;30.407757
b069a6135c8c7aaabdf54f1fb97ab729flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Жемчужный каскад;Жемчужный каскад;59.859691;30.145476
b0725396cf273ec6f2b401c4794fb28dflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Парголово;Парголово;60.073221;30.243563
b08de73296661d80dece649cc91eec8aflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Аквилон ZALIVE;Аквилон ZALIVE;59.934208;30.202159
b1fc1b84c179d238fe486ebdb2872f52flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Три Ветра;Три Ветра;59.982311;30.225318
b20c7c7ade13725f11e8bb94481688e1flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Familia;Familia;59.960097;30.261799
b47ba516bec1708cc96a925ef43ba60dflats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Граффити;Граффити;60.028245;30.250264
b4b43084b5e406973a2549dc64057471flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Александровский;Александровский;59.68687;30.407209
b4bf1ae6c10adaa7aed08650b9bf07b3flats_spb;г. Санкт-Петербург;spb_flats;г. Санкт-Петербург, ЖК Колумб / Гавань Капитанов;Колумб / Гавань Капитанов;59.93314;30.205842
