id1;id2;Project;Dist1;Dist2;Adress;Date_finish;Class;Deal3;id3;Section2;Floor1;Room;Area1;Price;Geo_spot1;Geo_spot2
bb90d31ca8061a74271eb271eb364614aparts_newmoscow;49145973ed476f2275314eae95a0dbcf;Татьянин Парк;НАО;НАО;Говорово дер.. к. 8А;2018;Комфорт;2017 4кв.;ecef5199d6a5b3e949af0f6c76d95032;;2;1;41.36;119143;55.655356;37.425926
bb90d31ca8061a74271eb271eb364614aparts_newmoscow;49145973ed476f2275314eae95a0dbcf;Татьянин Парк;НАО;НАО;Говорово дер.. к. 8А;2018;Комфорт;2017 4кв.;2c2b7d1d97b807140033c9f5b1f68f65;;2;2;60.39;109289;55.655356;37.425926
bb90d31ca8061a74271eb271eb364614aparts_newmoscow;f676deafa3145796936a1ea37259219a;Татьянин Парк;НАО;НАО;Говорово дер.. к. 8В;2018;Комфорт;2017 4кв.;a9bb59321cbf7e7d6e8d49ff525f1eb6;;2;1;42.98;119289;55.655356;37.425926
b92b9d9b61183c211556cdbcc5af1291aparts_newmoscow;ec4a073886411e76d28ea9fe030de335;Новая Звезда;НАО;НАО;Газопровод пос.. к. 4;2018;Комфорт;2017 4кв.;42ba15a2244a281f8d7b5afcb191b566;;1;1;41.5;96000;55.577928;37.479977
bb90d31ca8061a74271eb271eb364614aparts_newmoscow;f676deafa3145796936a1ea37259219a;Татьянин Парк;НАО;НАО;Говорово дер.. к. 8В;2018;Комфорт;2017 4кв.;9987fca5507aa58d9e3d7fff33672418;;2;3;81.56;107182;55.655356;37.425926
bb90d31ca8061a74271eb271eb364614aparts_newmoscow;f676deafa3145796936a1ea37259219a;Татьянин Парк;НАО;НАО;Говорово дер.. к. 8В;2018;Комфорт;2017 4кв.;42cebe9bd83d523bba0ad0788844011e;;2;2;52.03;112797;55.655356;37.425926
bb90d31ca8061a74271eb271eb364614aparts_newmoscow;f676deafa3145796936a1ea37259219a;Татьянин Парк;НАО;НАО;Говорово дер.. к. 8В;2018;Комфорт;2017 4кв.;c3e1b977126f3b2095b375863e477e49;;2;2;63.02;109447;55.655356;37.425926
bb90d31ca8061a74271eb271eb364614aparts_newmoscow;49145973ed476f2275314eae95a0dbcf;Татьянин Парк;НАО;НАО;Говорово дер.. к. 8А;2018;Комфорт;2017 4кв.;5bc210a724eb11a1f8ef38894ca401ae;;2;2;47.29;115812;55.655356;37.425926
bb90d31ca8061a74271eb271eb364614aparts_newmoscow;f676deafa3145796936a1ea37259219a;Татьянин Парк;НАО;НАО;Говорово дер.. к. 8В;2018;Комфорт;2017 4кв.;42d7d2f28a53570769e9cf3337a88fda;;2;2;59.23;109508;55.655356;37.425926
b92b9d9b61183c211556cdbcc5af1291aparts_newmoscow;7ffa7d4e3cd3580beb9f3dc263127653;Новая Звезда;НАО;НАО;Газопровод пос.. к. 3;2018;Комфорт;2017 4кв.;7cb442f3323f72b600efff7f5bb1e947;2;1;2;45.2;96000;55.577928;37.479977
b92b9d9b61183c211556cdbcc5af1291aparts_newmoscow;ec4a073886411e76d28ea9fe030de335;Новая Звезда;НАО;НАО;Газопровод пос.. к. 4;2018;Комфорт;2017 4кв.;7b30b068f5c47d6b75507cb42108ffeb;;1;1;38.7;110000;55.577928;37.479977
b92b9d9b61183c211556cdbcc5af1291aparts_newmoscow;ec4a073886411e76d28ea9fe030de335;Новая Звезда;НАО;НАО;Газопровод пос.. к. 4;2018;Комфорт;2017 4кв.;43c68354c555842fa674de10232a89db;;1;2;45.2;98000;55.577928;37.479977
b92b9d9b61183c211556cdbcc5af1291aparts_newmoscow;ec4a073886411e76d28ea9fe030de335;Новая Звезда;НАО;НАО;Газопровод пос.. к. 4;2018;Комфорт;2017 4кв.;b669ecdf835a00c5ac9cce94795e016d;;1;1;31.8;98000;55.577928;37.479977
bb90d31ca8061a74271eb271eb364614aparts_newmoscow;f676deafa3145796936a1ea37259219a;Татьянин Парк;НАО;НАО;Говорово дер.. к. 8В;2018;Комфорт;2017 4кв.;5203d26ced153f2535a4cd290b4adc95;;2;3;69;107315;55.655356;37.425926
c42c9480287f2d265acffdf850346766aparts_newmoscow;1eae0db9c8fefafbd55c5b9b797a750b;Троицкий берег;ТАО;ТАО;Прибрежная ул.. д. 17;2017;Бизнес;2017 4кв.;51dd508cbd5a8172d6cf48bdcaeb6fc9;3;1;2;63.9;;55.495823;37.30353
c42c9480287f2d265acffdf850346766aparts_newmoscow;1eae0db9c8fefafbd55c5b9b797a750b;Троицкий берег;ТАО;ТАО;Прибрежная ул.. д. 17;2017;Бизнес;2017 4кв.;0039e998ffb5f7889c8921d74a5694e2;4;1;2;63.9;;55.495823;37.30353
b92b9d9b61183c211556cdbcc5af1291aparts_newmoscow;7ffa7d4e3cd3580beb9f3dc263127653;Новая Звезда;НАО;НАО;Газопровод пос.. к. 3;2018;Комфорт;2017 4кв.;5f02534c26379c4cc9f54096cb7a7e60;1;1;1;38.2;98000;55.577928;37.479977
b92b9d9b61183c211556cdbcc5af1291aparts_newmoscow;7ffa7d4e3cd3580beb9f3dc263127653;Новая Звезда;НАО;НАО;Газопровод пос.. к. 3;2018;Комфорт;2017 4кв.;244a1bcb54c3070fb9ef34a6a1f0e5cc;;1;2;51.1;95000;55.577928;37.479977
b92b9d9b61183c211556cdbcc5af1291aparts_newmoscow;7ffa7d4e3cd3580beb9f3dc263127653;Новая Звезда;НАО;НАО;Газопровод пос.. к. 3;2018;Комфорт;2017 4кв.;2cae1a722800fac8a457d075f39960d0;1;1;2;52.6;95000;55.577928;37.479977
